vehicle_id,scenario,total_distance,average_passengers,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_out,utilization_rate,reported_time,idling_time,moving_time,pick_up,drop_off,revenue_trips,rebalance_trips
s1.43,1,398.8940218,3.034506532,0.115194135,0.043319889,0.079216795,0.21632367,0.545945511,0,0.884805865,87027,8120,78907,486,486,486,33
s1.44,1,300.8495379,2.280145815,0.332643873,0.038773598,0.068850848,0.135256205,0.424475477,0,0.667356127,87508,28108,59400,356,356,356,33
s1.45,1,361.9252674,2.778080366,0.205430499,0.039642869,0.062923001,0.15542303,0.536580601,0,0.794569501,87027,15371,71656,437,437,437,8
s1.46,1,329.1054893,2.530177025,0.266227268,0.024270449,0.08587828,0.160345998,0.463278006,0,0.733772732,86937,21533,65404,415,415,415,27
s1.47,1,415.852018,2.906209855,0.111729216,0.073947055,0.113713525,0.197605065,0.503005139,0,0.888270784,87184,3562,83622,457,457,457,22
s1.48,1,369.4397646,2.875509969,0.173977181,0.035715109,0.065702432,0.190031117,0.534574162,0,0.826022819,86770,13393,73377,452,452,452,5
s1.49,1,179.6505192,3.250380412,0.046700788,0.082916033,0.057573662,0.198921013,0.613888505,0,0.953299212,36145,234,35911,203,203,203,17
s1.50,1,293.711169,3.480196653,0.0228394,0.033241332,0.067672934,0.193375884,0.68287045,0,0.9771606,57970,0,57970,383,383,383,10
s1.52,1,51.11028405,1.758400153,0.258113784,0.21869034,0.231672394,0.089728904,0.201794578,0,0.741886216,10476,143,10333,38,38,38,23
s1.53,1,344.049284,2.519592665,0.253942042,0.046318276,0.083611426,0.158461486,0.45766677,0,0.746057958,87201,18807,68394,396,396,396,25
s1.54,1,115.6371017,0.767591374,0.763919236,0.025510496,0.023119602,0.053960991,0.133489676,0,0.236080764,87415,64511,22904,110,110,110,23
s1.55,1,345.0109021,2.787864774,0.218205152,0.020603062,0.055161171,0.167183092,0.538847523,0,0.781794848,86492,18095,68397,436,436,436,18
s1.56,1,357.6097657,3.268796652,0.053896059,0.051203348,0.095835368,0.170338333,0.628726892,0,0.946103941,71675,609,71066,412,412,412,23
s1.57,1,356.7492927,3.163281324,0.081559468,0.046050584,0.088257981,0.195813091,0.588318876,0,0.918440532,73897,2663,71234,440,440,440,23
s1.58,1,83.11450063,2.712344214,0.085163205,0.093768546,0.215608309,0.234480712,0.370979228,0,0.914836795,16850,0,16850,91,91,91,9
s1.59,1,321.151961,2.554210332,0.269124232,0.030861918,0.056957204,0.162792577,0.480264069,0,0.730875768,86644,22843,63801,365,365,365,27
s1.60,1,396.3783505,2.981369914,0.130514876,0.052576698,0.073697748,0.19144499,0.551765687,0,0.869485124,86312,7451,78861,464,464,464,20
s1.61,1,388.8928379,2.732931565,0.179885461,0.057672586,0.090213521,0.19408179,0.478146642,0,0.820114539,86783,8333,78450,450,450,450,26
s1.63,1,340.7661185,3.387552294,0.027875229,0.048,0.078957798,0.199031193,0.64613578,0,0.972124771,68125,246,67879,395,395,395,18
s1.64,1,71.182696,0.494421837,0.851035618,0.008938777,0.022929907,0.028759545,0.088336153,0,0.148964382,87484,73362,14122,69,69,69,16
s1.65,1,62.67109517,0.42599627,0.868752446,0.009519534,0.021375786,0.027683772,0.072668462,0,0.131247554,86874,74508,12366,66,66,66,22
s1.66,1,238.2840873,1.75333927,0.473754511,0.028190467,0.078947368,0.109176548,0.309931106,0,0.526245489,85348,38075,47273,233,233,233,23
s1.67,1,396.8349253,2.964712539,0.150456682,0.045725899,0.055413785,0.185455469,0.562948166,0,0.849543318,86603,3742,82861,487,487,487,26
s1.68,1,287.5225821,2.18358432,0.364685596,0.045832854,0.041395563,0.137383607,0.41070238,0,0.635314404,86990,29540,57450,362,362,362,24
s1.70,1,409.1533723,3.025335201,0.113107264,0.047249518,0.094292405,0.191902379,0.553448434,0,0.886892736,87112,6003,81109,483,483,483,8
s1.71,1,423.5366693,3.116760507,0.077267816,0.059898766,0.09705966,0.200352613,0.565421145,0,0.922732184,87915,3619,84296,506,506,506,31
s1.72,1,81.66182211,1.986546392,0.279587629,0.110051546,0.183917526,0.197113402,0.229329897,0,0.720412371,19400,3076,16324,81,81,81,15
s1.73,1,334.1113956,2.651738593,0.251036458,0.024644024,0.058561316,0.153060871,0.512697331,0,0.748963542,86593,20577,66016,426,426,426,11
s1.74,1,388.8499608,2.866626191,0.151599157,0.055283174,0.092776301,0.175575055,0.524766312,0,0.848400843,87296,9781,77515,462,462,462,32
s1.75,1,254.6253339,3.627280885,0,0.013221657,0.051710041,0.229634061,0.705434241,0,1,50145,0,50145,321,321,321,22
s1.76,1,13.30949833,2.227257355,0.096043287,0.122421373,0.239770037,0.541765303,0,0,0.903956713,2957,90,2867,8,8,8,14
s1.77,1,414.0516426,3.126745521,0.095590262,0.050677538,0.074621038,0.189618741,0.589492421,0,0.904409738,87080,1153,85927,554,554,554,13
s1.78,1,416.8051372,3.043924443,0.086271872,0.061271582,0.115249481,0.196674358,0.540532706,0,0.913728128,86239,1741,84498,463,463,463,20
s1.79,1,377.6904064,2.792790513,0.170828493,0.066056291,0.078892582,0.167941478,0.516281156,0,0.829171507,86941,11485,75456,423,423,423,35
s1.80,1,396.4746744,2.884755493,0.144271782,0.05000807,0.088995458,0.210142254,0.506582436,0,0.855728218,86746,7551,79195,497,497,497,25
s1.81,1,387.0913599,2.817774168,0.152518331,0.068143081,0.099738043,0.168247177,0.511353367,0,0.847481669,87419,9949,77470,465,465,465,29
s1.82,1,399.6322113,3.081176361,0.106375823,0.044786158,0.076839224,0.205283421,0.566715372,0,0.893624177,86232,6540,79692,514,514,514,26
s1.83,1,388.8962249,3.00005672,0.150138397,0.030039024,0.0645476,0.180177421,0.575097559,0,0.849861603,88152,11277,76875,488,488,488,8
s1.84,1,362.8788657,2.876364929,0.181053863,0.026197467,0.066422738,0.18798174,0.538344192,0,0.818946137,87184,15014,72170,492,492,492,27
s1.85,1,33.53832612,2.996947497,0,0.102106227,0.188949939,0.318833944,0.39010989,0,1,6552,0,6552,31,31,31,33
s1.86,1,372.0896542,3.024039659,0.107007623,0.065106372,0.086094365,0.180422002,0.561369638,0,0.892992377,80284,4687,75597,504,504,504,28
s1.87,1,350.4903836,2.691618903,0.231602329,0.031466519,0.063151716,0.161268789,0.512510646,0,0.768397671,86886,17507,69379,435,435,435,14
s1.89,1,340.8959615,2.823706413,0.22943743,0.014443274,0.029314755,0.156584536,0.570220005,0,0.77056257,86407,19074,67333,459,459,459,17
s1.91,1,399.0539343,2.963024403,0.136862337,0.060565846,0.06775046,0.172327792,0.562493565,0,0.863137663,87409,4148,83261,452,452,452,14
s1.92,1,131.657075,3.618968898,0.002575833,0.034100957,0.045865211,0.176694475,0.740763523,0,0.997424167,26011,67,25944,163,163,163,26
s1.93,1,392.3037689,2.93069838,0.149662737,0.037743817,0.082153007,0.193113209,0.537327231,0,0.850337263,87617,9623,77994,468,468,468,16
s1.94,1,9.251894247,2.318110236,0.031496063,0.139632546,0.513385827,0.11023622,0.205249344,0,0.968503937,1905,60,1845,5,5,5,26
s1.95,1,393.0321225,2.897436194,0.136200012,0.056693096,0.104276868,0.179130737,0.523699288,0,0.863799988,86395,7932,78463,486,486,486,20
s1.96,1,332.9638082,2.477073943,0.27451871,0.043313185,0.067572761,0.159766139,0.454829205,0,0.72548129,85863,19592,66271,347,347,347,22
s1.97,1,418.2929068,3.120609828,0.094013166,0.047759102,0.061074666,0.23791087,0.559242196,0,0.905986834,87041,870,86171,517,517,517,24
s1.98,1,313.1690984,2.481365133,0.298169429,0.020118958,0.055228966,0.155142346,0.471340301,0,0.701830571,86585,24781,61804,393,393,393,25
s1.99,1,370.7780113,2.936648352,0.171993964,0.024419181,0.065344345,0.171429559,0.566812951,0,0.828006036,86817,12906,73911,463,463,463,17
s1.100,1,327.893334,2.764878133,0.213590561,0.028876558,0.062059377,0.170011196,0.525462308,0,0.786409439,81277,16118,65159,432,432,432,16
s1.101,1,387.8385741,2.923868737,0.139747641,0.044735275,0.094176514,0.194581845,0.526758725,0,0.860252359,87336,10526,76810,480,480,480,21
s1.102,1,361.5299992,2.859349334,0.16233559,0.037874759,0.103496768,0.170690491,0.525602392,0,0.83766441,84621,12747,71874,398,398,398,27
s1.103,1,366.3438165,2.784012818,0.17210848,0.068102783,0.071924515,0.179395882,0.50846834,0,0.82789152,84255,11453,72802,429,429,429,29
s1.104,1,62.15593087,1.937257176,0.299565091,0.154247608,0.120092781,0.161554074,0.264540447,0,0.700434909,17245,5085,12160,57,57,57,25
s1.105,1,381.6835628,2.864969544,0.169681646,0.029686243,0.087576141,0.192092863,0.520963108,0,0.830318354,87010,11196,75814,456,456,456,22
s1.106,1,377.7976811,2.85784666,0.168977349,0.04676234,0.076507546,0.172941831,0.534810934,0,0.831022651,86266,10960,75306,459,459,459,21
s1.107,1,407.1810385,3.114825818,0.101248636,0.035289066,0.075034233,0.224243971,0.564184093,0,0.898751364,86174,4807,81367,476,476,476,13
s1.108,1,405.43085,2.929351317,0.122052482,0.067265345,0.096935499,0.186771722,0.526974952,0,0.877947518,87192,4760,82432,511,511,511,35
s1.109,1,322.9350156,2.438438021,0.286328053,0.037393459,0.069309339,0.165450713,0.441518436,0,0.713671947,86352,22537,63815,366,366,366,34
