vehicle_id,timestamp,latitude,longitude,num_passengers,distance,duration
0,1381010523,40.74345,-73.98819,4,0.048647887,10
0,1381010532,40.74283,-73.98866,4,0.049411231,9
0,1381010539,40.7424,-73.98896,4,0.033612657,7
0,1381010542,40.74222,-73.9891,4,0.014438673,3
0,1381010552,40.74155,-73.9896,4,0.053191367,10
0,1381010563,40.74088,-73.99007,4,0.052436181,11
0,1381010573,40.74025,-73.99053,4,0.049756587,10
0,1381010581,40.73967,-73.99094,4,0.045469961,8
0,1381010590,40.73909,-73.99137,4,0.045973773,9
0,1381010600,40.73851,-73.9918,4,0.045973869,10
0,1381010609,40.73792,-73.99223,4,0.046577721,9
0,1381010618,40.73733,-73.99265,4,0.046326952,9
0,1381010628,40.73669,-73.99312,4,0.050615562,10
0,1381010638,40.73601,-73.99361,4,0.053542175,10
0,1381010649,40.73531,-73.99412,4,0.055257909,11
0,1381010659,40.73467,-73.99459,4,0.050615925,10
0,1381010669,40.73403,-73.99505,4,0.050363487,10
0,1381010678,40.73344,-73.99549,4,0.046833857,9
0,1381010687,40.73286,-73.9959,4,0.045470999,9
0,1381010697,40.73226,-73.99635,4,0.047693498,10
0,1381010710,40.73141,-73.99698,4,0.067372768,13
0,1381010730,40.73221,-73.99861,4,0.101700437,20
0,1381010740,40.73163,-73.99911,4,0.047877275,10
0,1381010749,40.73104,-73.9996,4,0.048176483,9
0,1381010759,40.73043,-74.00012,4,0.050186716,10
0,1381010775,40.73107,-74.00141,4,0.080746874,16
0,1381010785,40.73171,-74.00095,4,0.050364,10
0,1381010802,40.73104,-73.9996,4,0.084510791,17
0,1381010811,40.73043,-74.00012,4,0.050186716,9
0,1381010819,40.72999,-74.0005,4,0.036340736,8
0,1381010832,40.72917,-74.00119,4,0.067209407,13
0,1381010849,40.7281,-74.0021,4,0.087972742,17
0,1381010851,40.72799,-74.00219,4,0.008944559,2
0,1381010860,40.72762,-74.00144,4,0.04686824,9
0,1381010869,40.72724,-74.00067,4,0.048123278,9
0,1381010878,40.72689,-73.99997,4,0.043920813,9
0,1381010888,40.72649,-73.99917,4,0.050195412,10
0,1381010906,40.72538,-74.0001,4,0.090866877,18
0,1381010926,40.72417,-74.00113,4,0.099511414,20
0,1381010935,40.7238,-74.00037,4,0.047309931,9
0,1381010944,40.72342,-73.99961,4,0.047687179,9
0,1381010954,40.72302,-73.99881,4,0.050197235,10
0,1381010964,40.72267,-73.99797,4,0.050205942,10
0,1381010974,40.7223,-73.99713,4,0.050886453,10
0,1381010984,40.72195,-73.99627,4,0.051126788,10
0,1381010994,40.72162,-73.99546,4,0.048165901,10
0,1381011002,40.72131,-73.9947,4,0.04520499,8
0,1381011012,40.72098,-73.99388,4,0.048628229,10
0,1381011021,40.72035,-73.99412,4,0.045316538,9
0,1381011022,40.7203,-73.99398,4,0.008106179,1
0,1381011035,40.71991,-73.99292,3,0.061716327,13
0,1381011037,40.72005,-73.99284,3,0.010543543,2
0,1381011049,40.7203,-73.99398,3,0.062159565,12
0,1381011051,40.72035,-73.99412,3,0.008106179,2
0,1381011060,40.72063,-73.99497,3,0.048543974,9
0,1381011069,40.7209,-73.99575,3,0.044913446,9
0,1381011079,40.72117,-73.99657,3,0.046827095,10
0,1381011088,40.72145,-73.9974,4,0.047584595,9
0,1381011092,40.72158,-73.99779,4,0.022315172,4
0,1381011100,40.72106,-73.9982,4,0.041863629,8
0,1381011110,40.72142,-73.99903,4,0.050088181,10
0,1381011120,40.72179,-73.99986,4,0.050434805,10
0,1381011135,40.72086,-74.00064,4,0.076155996,15
0,1381011150,40.71994,-74.00142,4,0.075573985,15
0,1381011159,40.71941,-74.00188,4,0.043841454,9
0,1381011163,40.71915,-74.00209,4,0.021067525,4
0,1381011171,40.71864,-74.00253,3,0.04211133,8
0,1381011181,40.71803,-74.00304,3,0.049907157,10
0,1381011190,40.71745,-74.00353,3,0.047595841,9
0,1381011200,40.71687,-74.00403,3,0.047880451,10
0,1381011209,40.71629,-74.00453,3,0.047880576,9
0,1381011218,40.71576,-74.00498,3,0.043556501,9
0,1381011226,40.71524,-74.00542,3,0.042692042,8
0,1381011235,40.71468,-74.00589,3,0.045867703,9
0,1381011255,40.71544,-74.00755,4,0.10158466,20
0,1381011270,40.71602,-74.00882,4,0.077666199,15
0,1381011275,40.71619,-74.0092,4,0.023113184,5
0,1381011285,40.71695,-74.00911,4,0.052733368,10
0,1381011290,40.71729,-74.00906,4,0.023642293,5
0,1381011294,40.7176,-74.009,4,0.02165283,4
0,1381011298,40.71793,-74.00894,4,0.02302123,4
0,1381011303,40.71827,-74.00888,4,0.023706028,5
0,1381011308,40.71864,-74.00882,4,0.025762438,5
0,1381011313,40.71903,-74.00875,4,0.027200441,5
0,1381011317,40.7193,-74.0087,4,0.018842104,4
0,1381011326,40.71996,-74.00858,4,0.046042436,9
0,1381011335,40.72065,-74.00847,4,0.048031458,9
0,1381011344,40.72133,-74.00834,4,0.047484291,9
